date,catalogVersion,n_records,cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,forensicTriage,notes,cwes
2023-08-18,2023.08.16,984,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-19,2023.08.16,984,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-20,2023.08.16,984,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-21,2023.08.21,985,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-22,2023.08.22,987,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-23,2023.08.22,987,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-24,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-25,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-26,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-27,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-28,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-29,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-30,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-08-31,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-01,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-02,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-03,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-04,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-05,2023.08.24,989,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-06,2023.09.06,990,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-07,2023.09.06,990,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-08,2023.09.06,990,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-09,2023.09.06,990,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-10,2023.09.06,990,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-11,2023.09.11,992,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-12,2023.09.12,994,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-13,2023.09.13,997,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-14,2023.09.14,998,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-15,2023.09.14,998,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-16,2023.09.14,998,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-17,2023.09.14,998,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-18,2023.09.18,1006,1,1,1,1,1,1,1,1,0,0,1,0
2023-09-19,2023.09.19,1007,1,1,1,1,1,1,1,1,0,0,1,0
