date,sha256_third,sha256_primary,identical
2021-11-12,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,1
2021-11-13,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,1
2021-11-14,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,1
2021-11-15,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,1
2021-11-16,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,1
2021-11-17,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,f0273ec62e9bb94275fd7000846674f357483a3f87b031254a071462e8cef62a,1
2021-11-18,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-19,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-20,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-21,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-22,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-23,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-24,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-25,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-26,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-27,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-28,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-29,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-11-30,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,ef1457126e00da667e052e877ad240cc722b275b3f97eb38f32f82b38838bc74,1
2021-12-01,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-02,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-03,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-04,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-05,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-06,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-07,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-08,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-09,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-10,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,0abd962920dd7b67c92bc2eb6b6c6e9d78e7e85e3110cb71ed5951eb60f9abe9,1
2021-12-11,8cc5251d37e2dad464c3dbb3936d0c3fe94542d3392b15c4475e00bb2f439256,8cc5251d37e2dad464c3dbb3936d0c3fe94542d3392b15c4475e00bb2f439256,1
2021-12-12,8cc5251d37e2dad464c3dbb3936d0c3fe94542d3392b15c4475e00bb2f439256,8cc5251d37e2dad464c3dbb3936d0c3fe94542d3392b15c4475e00bb2f439256,1
